Participant #,Experiment,Verb Condition,Video File,Video Release,Gender,Days Old,Age.Years,Age.Months,Where Conducted,Experimenter,Notes,Inclusion Decision,Exclude Reason,Blind Code?,2nd Coder,zzz,zzzzz,zzzzzz,Columns for old variable names,Experiment Group,Has video release?,Condition
1,Pilot,Manner,MannerPath_101615,VR,F,1816,4,11,Harvard,Melissa,"Very first kid! She was very pleased about the stars, clearly found it very straightforward. I read the wrong consent form and called her by her sister's name for whole first part of the session!",0,Pilot,NA,,,,,,Pilot,1,Manner-Agentive
2,Pilot,Manner,NA,VR,M,2105,5,9,Harvard,Melissa,"Got through 6 trials: (he hit space at the wrong moment.) I failed to record video!  Thought the task was reeeeely easy, sighing during repeats on training videos",0,Pilot,NA,,,,,,Pilot,1,Manner-Agentive
3,Pilot,Path,MannerPath_103015,VR,F,1792,4,10,Harvard,Annelot,Bilingual (Turkish = path bias),0,Pilot,NA,,,,,,Pilot,1,Path-Agent
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Something went wrong during the exp, so #5 is actually the 4th participant",NA,NA,NA,,,,,,NA,NA,NA
5,Pilot,Path,MannerPath_103115,VR,M,1830,5,0,Harvard,Annelot,"He was very excited about the videos! He wanted to use the keyboard himself, during the dacking bias  test (let's check this) he pressed the wrong button, so we need to code the video. ",0,Pilot,NA,,,,,,Pilot,1,Path-Agent
6,Pilot,Path,MannerPath_110115,VR,M,1949,5,4,Harvard,Annelot,"Bilingual (Chinese 50%), task was very easy.",0,Pilot,NA,,,,,,Pilot,1,Path-Agent
7,E1 - MannerPath,Path,MannerPath110715_1,VR,F,1710,4,8,Harvard,Nason,She liked the animations and stars.,0,Bilingual,NA,,,,,,_,1,Path-Agent
8,E1 - MannerPath,Path,MannerPath110715_2,VR,F,1741,4,9,Harvard,Annelot,She said that she didn't know what glorfin means so no answer there. ,1,,,,,,,,1,1,Path-Agent
9,E1 - MannerPath,Path,MannerPath110715_3,VR,F,2482,6,9,Harvard,Annelot,Task was easy.,0,Too old,,,,,,,1,1,Path-Agent
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matlab error at the beginning (wrong key to start),NA,,NA,,,,,,NA,NA,NA
11,E1 - MannerPath,Path,MannerPath_111015,VR,F,1567,4,3,Harvard,Nason,She was an engaged individual.,1,,,,,,,,1,1,Path-Agent
12,E1 - MannerPath,Path,NA,VR,F,1511,4,1,Harvard,Annelot,After a few minutes she heard her mother talking and wanted to quit.,0,Not finished,NA,,,,,,1,1,Path-Agent
13,E1 - MannerPath,Path,MannerPath_112115,VR,F,2260,6,2,Harvard,Annelot,"Although she was very patient, I could tell she found it boring.",1,,,,,,,,1,1,Path-Agent
14,E1 - MannerPath,Path,MannerPath_120315,VR,M,2253,6,2,Harvard,Nason,He appeared to be bored and disengaged multiple times,1,,,,,,,,1,1,Path-Agent
15,E1 - MannerPath,Manner,MannerPath_120515,VR,M,1763,4,9,Harvard,Annelot,"Bilingual (Mandarin). English dominant He liked the videos, sometimes he was hesitant to point and looked at me for approval.",1,,,,,,,,1,1,Manner-Agentive
16,E1 - MannerPath,Manner,MannerPath_120615,VR,M,1936,5,3,Harvard,Annelot,Bilingual (Hindi dialect). English dominant  He liked the task a lot.,1,,,,,,,,1,1,Manner-Agentive
17,E1 - MannerPath,Manner,MannerPath_120915,No VR,M,2300,6,3,Harvard,Annelot,"Trilingual (English, Chinese, Czech). He was very focused. Task was easy. He was pointing after first instance of video.",0,Bilingual,,,,,,,1,0,Manner-Agentive
18,E1 - MannerPath,Manner,MannerPath_121115_1,VR,M,1747,4,9,Preschool,Annelot,"Understands Creole (but doesn't speak it). We had to take multiple 'stretch breaks',  he wasn't very excited about playing the game and was very distracted - usually not in his chair all the way through a single trial (bias + exposure + test sequence )",0,Uncooperative,,,,,,,1,1,Manner-Agentive
19,E1 - MannerPath,Path,MannerPath_121115_2,VR,M,1841,5,0,Preschool,Annelot,He liked the stars.,1,,,,,,,,1,1,Path-Agent
20,E1 - MannerPath,Manner,MannerPath_121115_3,VR,F,1918,5,3,Preschool,Annelot,She liked the stars.,1,,,,,,,,1,1,Manner-Agentive
21,E1 - MannerPath,Path,MannerPath_121115_4,VR,F,1918,5,3,Preschool,Melissa,She liked the stars.,1,,,,,,,,1,1,Path-Agent
22,E1 - MannerPath,Path,MannerPath_121215,No VR,F,1678,4,7,Harvard,Annelot,Nothing to comment! ,1,,,,,,,,1,0,Path-Agent
23,E1 - MannerPath,Manner,MannerPath_121515_1,No VR,M,2017,5,6,Preschool,Annelot,He liked it a lot!,1,,,,,,,,1,0,Manner-Agentive
24,E1 - MannerPath,Path,MannerPath_121515_2,VR,F,1877,5,1,Preschool,Annelot,Nothing to comment.,1,,,,,,,,1,1,Path-Agent
25,E1 - MannerPath,Manner,MannerPath_121515_3,VR,M,1580,4,3,Preschool,Annelot,Nothing to comment.,1,,,,,,,,1,1,Manner-Agentive
26,E1 - MannerPath,Manner,MannerPath_121515_4,VR,F,1369,3,8,Preschool,Annelot,3yo,0,Too young,,,,,,,1,1,Manner-Agentive
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA
